sample_id,collection_date,lineage
SRR28116915,2023-09-28,EG.5.1.1
SRR28116916,2023-09-29,EG.5.1.3
SRR28116917,2023-10-11,XBB.1.16.6
SRR28116918,2023-10-01,EG.5.1
SRR28116919,2023-10-01,EG.5.1.1
SRR28116920,2023-10-01,HV.1
SRR28116921,2023-10-01,JF.4
SRR28116922,2023-10-03,HK.3
SRR28116923,2023-10-09,HK.26
SRR28116924,2023-10-03,XBB.1.16.9
SRR28116925,2023-10-10,EG.5.1
SRR28116926,2023-10-27,HV.1
SRR28116927,2023-10-30,EG.5.1.4
SRR28116928,2023-10-31,EG.5.1.16
SRR28116929,2023-10-30,HK.1
SRR28116931,2023-10-27,HV.1
SRR28116932,2023-10-30,GY.5
SRR28116933,2023-10-30,GJ.1.2
SRR28116934,2023-10-31,JF.1.1
SRR28116935,2023-10-31,HV.1
SRR28116936,2023-10-31,EG.5.1.3
SRR28116938,2023-10-31,HK.26
SRR28116945,2023-10-23,HV.1
SRR28116946,2023-10-20,DV.7.1
SRR28116947,2023-10-23,EG.5.1.1
SRR28116948,2023-10-24,JF.1
SRR28116949,2023-10-25,JF.1
SRR28116950,2023-10-25,HV.1
SRR28116951,2023-10-25,JF.1
SRR28116952,2023-10-25,XBB.1.16.15
SRR28116953,2023-10-22,HK.26
SRR28116954,2023-10-26,JG.3
SRR28116955,2023-10-25,HV.1
SRR28116956,2023-10-25,HV.1
SRR28116957,2023-10-17,EG.5.1.1
SRR28116958,2023-10-18,XBB.1.16.11
SRR28116959,2023-10-18,EG.5.1.1
SRR28116960,2023-10-18,FL.1.5.1
SRR28116961,2023-10-16,EG.5.1.1
SRR28116962,2023-10-18,HV.1.5
SRR28116963,2023-10-17,EG.5.1.1
SRR28116964,2023-10-17,HK.28
SRR28116965,2023-10-17,XBB.1.16
SRR28116966,2023-10-17,XBB.2.3.8
SRR28116967,2023-10-16,HV.1
SRR28116968,2023-10-16,FL.1.5.1
